文档名,文本内容,schema,审核意见,审核结果
laowu1,335558699588884154,乙方身份证号,,通过
laowu1,劳动合同,标题,建议将合同标题由劳动合同修改为劳务合同。若用工单位通过订立所谓的劳务合同、雇佣合同等方式，意图规避劳动关系的建立，可能仍会被认定为劳动关系。
laowu1,"3、乙方提供劳务过程中受伤责任自负，与甲方无关，放弃向甲方主张民事赔偿的权利
4、乙方在提供劳务过程中导致第三人受伤或损失，由乙方承担赔偿责任，与甲方无关。",提供劳务者受害责任自负,违反法律规定，建议核实或修改。【《中华人民共和国民法典》第一千一百九十二条】个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。接受劳务一方承担侵权责任后，可以向有故意或者重大过失的提供劳务一方追偿。提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。提供劳务期间，因第三人的行为造成提供劳务一方损害的，提供劳务一方有权请求第三人承担侵权责任，也有权请求接受劳务一方给予补偿。接受劳务一方补偿后，可以向第三人追偿。
laowu1,本合同履行行过程中如发生争议的，双方应友好协商，协商不成可向滨江区劳动与人事争议仲裁委员会仲裁。,劳务合同争议解决,劳务合同争议解决方式错误，建议核实或修改。如发生争议，双方应友好协商解决。劳务合同纠纷出现后可以经双方当事人协商解决，也可以直接起诉，劳务合同纠纷不属于劳动仲裁委员会管辖的范围
laowu2,根据我国《中华人民共和国劳动法》及有关规定，甲乙双方经平等协商一致，自愿签订本劳务协议，以期共同遵守本协议所列条款。,鉴于条款,法条引用错误，劳务关系不受《中华人民共和国劳动法》管理。
laowu2,甲方若单方面解除本协议，提前7天通知另一方即可。乙方若单方面解除本协议，需支付甲方按照损失的40%计算的违约金。,违约责任,约定的违约金过高，建议核实或修改。违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。
laowu3,如乙方在提供劳务中受伤，医药费、伤残费、护理费由乙方自行承担，与甲方无关，乙方放弃向甲方要求赔偿的权利。,提供劳务者受害责任自负,"违法相关法律规定，建议核实或修改。提供劳务中因劳务受到损害的，根据双方各自的过错承担相应的责任。【《中华人民共和国民法典》第一千一百九十二条】个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。接受劳务一方承担侵权责任后，可以向有故意或者重大过失的提供劳务一方追偿。提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。提供劳务期间，因第三人的行为造成提供劳务一方损害的，提供劳务一方有权请求第三人承担侵权责任，也有权请求接受劳务一方给予补偿。接受劳务一方补偿后，可以向第三人追偿。",通过
laowu4,根据《中华人民共和国合同法》等有关规定，甲⼄双⽅在平等⾃愿的基础上签订本合同。,鉴于条款,"法条引用错误，《民法典》第一千二百六十条 本法自2021年1月1日起施行。
《中华人民共和国婚姻法》、《中华人民共和国继承法》、《中华人民共和国民法通则》、《中华人民共和国收养法》、《中华人民共和国担保法》、《中华人民共和国合同法》、《中华人民共和国物权法》、《中华人民共和国侵权责任法》、《中华人民共和国民法总则》同时废止。"
laowu4,注意安全⽣产，⼄⽅如违反操作规程所出现的事故，⼄⽅应负责主要责任;⼄⽅确因⽆法避免的⼯伤事故，甲⽅承担医疗期间医疗费⽤及⼯资。,损害赔偿,"该条款存在格式条款无效的可能，【《中华人民共和国民法典》第四百九十七条】有下列情形之一的，该格式条款无效：
　　（一）具有本法第一编第六章第三节和本法第五百零六条规定的无效情形；
　　（二）提供格式条款一方不合理地免除或者减轻其责任、加重对方责任、限制对方主要权利；
　　（三）提供格式条款一方排除对方主要权利。
提供劳务中因劳务受到损害的，不属于工伤，根据双方各自的过错承担相应的责任。【《中华人民共和国民法典》第一千一百九十二条】个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。接受劳务一方承担侵权责任后，可以向有故意或者重大过失的提供劳务一方追偿。提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。提供劳务期间，因第三人的行为造成提供劳务一方损害的，提供劳务一方有权请求第三人承担侵权责任，也有权请求接受劳务一方给予补偿。接受劳务一方补偿后，可以向第三人追偿。",通过
laowu5,鉴于⼄⽅为国有企业改制内退⼈员，不具备劳动法律关系的主体资格。根据《中华人民共和国民法通则》、《中华人民共和国合同法》和有关规定，甲⼄双⽅经平等协商⼀致，⾃愿签订本劳务合同，共同遵守本合同所列条款。本合同书依法订⽴即具有法律约束⼒。,鉴于条款,"法条引用错误，《民法典》第一千二百六十条 本法自2021年1月1日起施行。
《中华人民共和国婚姻法》、《中华人民共和国继承法》、《中华人民共和国民法通则》、《中华人民共和国收养法》、《中华人民共和国担保法》、《中华人民共和国合同法》、《中华人民共和国物权法》、《中华人民共和国侵权责任法》、《中华人民共和国民法总则》同时废止。"
